id,current_league_country
Gerónimo Rulli,Spain
Cristian Romero,England
Germán Pezzella,Spain
Marcos Acuña,Spain
Juan Foyth,Spain
Gonzalo Montiel,Spain
Leandro Paredes,Italy
Enzo Fernández,Portugal
Exequiel Palacios,Germany
Papu Gómez,Spain
Ángel Correa,Spain
Paulo Dybala,Italy
Julián Álvarez,England
Emiliano Martínez,England
Franco Armani,Argentina
Lisandro Martínez,England
Nicolás Otamendi,Portugal
Nicolás Tagliafico,France
Nahuel Molina,Spain
Guido Rodríguez,Spain
Rodrigo de Paul,Spain
Alexis Mac Allister,England
Thiago Almada,United States
Lionel Messi,France
Ángel Di María,Italy
Lautaro Martínez,Italy
Andrew Redmayne,Australia
Harry Souttar,England
Bailey Wright,England
Thomas Deng,Japan
Joel King,Denmark
Nathaniel Atkinson,Scotland
Keanu Baccus,Scotland
Riley McGree,England
Ajdin Hrustic,Italy
Craig Goodwin,Australia
Marco Tilio,Australia
Jason Cummings,Australia
Garang Kuol,Australia
Mathew Ryan,Denmark
Danny Vukovic,Australia
Milos Degenek,United States
Kye Rowles,Scotland
Aziz Behich,Scotland
Fran Karacic,Italy
Cammy Devlin,Scotland
Aaron Mooy,Scotland
Jackson Irvine,Germany
Awer Mabil,Spain
Mathew Leckie,Australia
Jamie Maclaren,Australia
Mitchell Duke,Japan
Koen Casteels,Germany
Arthur Theate,France
Zeno Debast,Belgium
Jan Vertonghen,Belgium
Thomas Meunier,Germany
Leander Dendoncker,England
Youri Tielemans,England
Charles De Ketelaere,Italy
Yannick Carrasco,Spain
Thorgan Hazard,Germany
Romelu Lukaku,Italy
Michy Batshuayi,Turkey
Thibaut Courtois,Spain
Simon Mignolet,Belgium
Wout Faes,England
Toby Alderweireld,Belgium
Timothy Castagne,England
Amadou Onana,England
Axel Witsel,Spain
Kevin De Bruyne,England
Hans Vanaken,Belgium
Leandro Trossard,England
Jérémy Doku,France
Loïs Openda,France
Dries Mertens,Turkey
Ederson,England
Marquinhos,France
Bremer,Italy
Alex Telles,Spain
Danilo,Italy
Bruno Guimarães,England
Casemiro,England
Éverton Ribeiro,Brazil
Vinicius Junior,Spain
Gabriel Martinelli,England
Antony,England
Gabriel Jesus,England
Pedro,Brazil
Alisson,England
Weverton,Brazil
Éder Militão,Spain
Thiago Silva,England
Alex Sandro,Italy
Dani Alves,Mexico
Fabinho,England
Fred,England
Lucas Paquetá,England
Neymar,France
Rodrygo,Spain
Raphinha,Spain
Richarlison,England
Devis Epassy,Saudi Arabia
Christopher Wooh,France
Nicolas N'Koulou,Greece
Nouhou,United States
Collins Fai,Saudi Arabia
Martin Hongla,Italy
Gaël Ondoua,Germany
Pierre Kunde,Greece
Georges-Kevin N'Koudou,Turkey
Jerome Ngom Mbekeli,
Christian Bassogog,China
Vincent Aboubakar,Saudi Arabia
Souaibou Marou,
André Onana,Italy
Simon Ngapandouetnbu,France
Jean-Charles Castelletto,France
Enzo Ebosse,Italy
Olivier Mbaizo,United States
Frank Anguissa,Italy
Samuel Oum Gouet,Belgium
Olivier Ntcham,England
Karl Toko Ekambi,France
Nicolas Moumi Ngamaleu,Russia
Bryan Mbeumo,England
Eric Maxim Choupo-Moting,Germany
Jean-Pierre Nsame,Switzerland
Milan Borjan,Serbia
Kamal Miller,United States
Derek Cornelius,Greece
Alphonso Davies,Germany
Alistair Johnston,United States
Samuel Piette,United States
Atiba Hutchinson,Turkey
Ismaël Koné,United States
Mark-Anthony Kaye,United States
Liam Millar,Switzerland
Tajon Buchanan,Belgium
Cyle Larin,Belgium
Lucas Cavallini,United States
Dayne St. Clair,United States
James Pantemis,United States
Joel Waterman,United States
Steven Vitória,Portugal
Sam Adekugbe,Turkey
Richie Laryea,United States
Liam Fraser,Belgium
Stephen Eustaquio,Portugal
Jonathan Osorio,United States
David Wotherspoon,Scotland
Junior Hoilett,England
Jonathan David,France
Iké Ugbo,France
Esteban Alvarado,Costa Rica
Juan Pablo Vargas,Colombia
Óscar Duarte,Saudi Arabia
Kendall Waston,Costa Rica
Bryan Oviedo,United States
Keysher Fuller,Costa Rica
Douglas López,Costa Rica
Roan Wilson,Costa Rica
Gerson Torres,Costa Rica
Brandon Aguilera,Costa Rica
Jewison Bennette,England
Anthony Hernández,Costa Rica
Johan Venegas,Costa Rica
Keylor Navas,France
Patrick Sequeira,Spain
Francisco Calvo,Turkey
Daniel Chacón,United States
Ronald Matarrita,United States
Carlos Martínez,Costa Rica
Yeltsin Tejeda,Costa Rica
Youstin Salas,Costa Rica
Celso Borges,Costa Rica
Álvaro Zamora,Costa Rica
Bryan Ruiz,Costa Rica
Joel Campbell,Mexico
Anthony Contreras,Costa Rica
Ivica Ivusic,Croatia
Josko Gvardiol,Germany
Martin Erlic,Italy
Domagoj Vida,Greece
Borna Barisic,Scotland
Josip Juranovic,Scotland
Kristijan Jakic,Germany
Luka Modric,Spain
Mario Pasalic,Italy
Nikola Vlasic,Italy
Mislav Orsic,Croatia
Marko Livaja,Croatia
Ante Budimir,Spain
Dominik Livakovic,Croatia
Ivo Grbic,Spain
Josip Sutalo,Croatia
Dejan Lovren,Russia
Borna Sosa,Germany
Josip Stanisic,Germany
Marcelo Brozovic,Italy
Mateo Kovacic,England
Ivan Perisic,England
Lovro Majer,France
Luka Sucic,Austria
Andrej Kramaric,Germany
Bruno Petkovic,Croatia
Frederik Rönnow,Germany
Joachim Andersen,England
Victor Nelsson,Turkey
Joakim Maehle,Italy
Alexander Bah,Portugal
Christian Nörgaard,England
Mathias Jensen,England
Daniel Wass,Denmark
Jesper Lindström,Germany
Mikkel Damsgaard,England
Jonas Wind,Germany
Yussuf Poulsen,Germany
Martin Braithwaite,Spain
Oliver Christensen,Germany
Kasper Schmeichel,France
Andreas Christensen,Spain
Simon Kjaer,Italy
Rasmus Kristensen,England
Jens Stryger Larsen,Turkey
Pierre-Emile Höjbjerg,England
Thomas Delaney,Spain
Andreas Skov Olsen,Belgium
Christian Eriksen,England
Robert Skov,Germany
Kasper Dolberg,Spain
Andreas Cornelius,Denmark
Hernán Galíndez,Ecuador
Piero Hincapié,Germany
William Pacho,Belgium
Robert Arboleda,Brazil
Pervis Estupiñán,England
Angelo Preciado,Belgium
Jhegson Méndez,United States
José Cifuentes,United States
Jeremy Sarmiento,England
Romario Ibarra,Mexico
Ángel Mena,Mexico
Enner Valencia,Turkey
Kevin Rodríguez,
Moisés Ramírez,Ecuador
Alexander Domínguez,Ecuador
Félix Torres,Mexico
Jackson Porozo,France
Xavier Arreaga,United States
Diego Palacios,United States
Carlos Gruezo,Germany
Moisés Caicedo,England
Alan Franco,Argentina
Ayrton Preciado,Mexico
Gonzalo Plata,Spain
Michael Estrada,Mexico
Djorkaeff Reasco,Argentina
Jordan Pickford,England
Ben White,England
Harry Maguire,England
Conor Coady,England
Trent Alexander-Arnold,England
Kieran Trippier,England
Kalvin Phillips,England
Jude Bellingham,Germany
Jordan Henderson,England
Mason Mount,England
Jack Grealish,England
Marcus Rashford,England
Callum Wilson,England
Aaron Ramsdale,England
Nick Pope,England
John Stones,England
Eric Dier,England
Luke Shaw,England
Kyle Walker,England
Declan Rice,England
Phil Foden,England
Conor Gallagher,England
Bukayo Saka,England
James Maddison,England
Raheem Sterling,England
Harry Kane,England
Hugo Lloris,England
Jules Koundé,Spain
Dayot Upamecano,Germany
Raphaël Varane,England
Axel Disasi,France
Benjamin Pavard,Germany
Jordan Veretout,France
Mattéo Guendouzi,France
Adrien Rabiot,Italy
Kingsley Coman,Germany
Kylian Mbappé,France
Randal Kolo Muani,Germany
Olivier Giroud,Italy
Alphonse Areola,England
Steve Mandanda,France
William Saliba,England
Lucas Hernández,Germany
Ibrahima Konaté,England
Theo Hernández,Italy
Aurélien Tchouameni,Spain
Eduardo Camavinga,Spain
Youssouf Fofana,France
Ousmane Dembélé,Spain
Antoine Griezmann,Spain
Karim Benzema,Spain
Marcus Thuram,Germany
Manuel Neuer,Germany
Antonio Rüdiger,Spain
Nico Schlotterbeck,Germany
Matthias Ginter,Germany
David Raum,Germany
Lukas Klostermann,Germany
Leon Goretzka,Germany
Jamal Musiala,Germany
Julian Brandt,Germany
Leroy Sané,Germany
Karim Adeyemi,Germany
Thomas Müller,Germany
Niclas Füllkrug,Germany
Marc-André ter Stegen,Spain
Kevin Trapp,Germany
Niklas Süle,Germany
Thilo Kehrer,England
Armel Bella-Kotchap,England
Christian Günter,Germany
Joshua Kimmich,Germany
Ilkay Gündogan,England
Kai Havertz,England
Mario Götze,Germany
Serge Gnabry,Germany
Jonas Hofmann,Germany
Youssoufa Moukoko,Germany
Abdul Nurudeen,Belgium
Mohammed Salisu,England
Alexander Djiku,France
Alidu Seidu,France
Abdul-Rahman Baba,England
Denis Odoi,Belgium
Salis Abdul Samed,France
Mohammed Kudus,Netherlands
Kamaldeen Sulemana,France
Daniel Afriyie,Ghana
Osman Bukari,Serbia
Iñaki Williams,Spain
Antoine Semenyo,England
Lawrence Ati Zigi,Switzerland
Ibrahim Danlad,Ghana
Daniel Amartey,England
Joseph Aidoo,Spain
Gideon Mensah,France
Tariq Lamptey,England
Thomas Partey,England
Elisha Owusu,Belgium
Daniel-Kofi Kyereh,Germany
André Ayew,Qatar
Kamal Sowah,Belgium
Issahaku Fatawu,Portugal
Jordan Ayew,England
Alireza Beiranvand,Iran
Payam Niazmand,Iran
Hossein Kanaani,Qatar
Shoja Khalilzadeh,Qatar
Ehsan Hajsafi,Greece
Sadegh Moharrami,Croatia
Roozbeh Cheshmi,Iran
Ahmad Nourollahi,United Arab Emirates
Saman Ghoddos,England
Vahid Amiri,Iran
Ali Gholizadeh,Belgium
Sardar Azmoun,Germany
Amir Abedzadeh,Spain
Hossein Hosseini,Iran
Majid Hosseini,Turkey
Morteza Pouraliganji,Iran
Milad Mohammadi,Greece
Abolfazl Jalali,Iran
Ramin Rezaeian,Iran
Saeid Ezatolahi,Denmark
Ali Karimi,Turkey
Mehdi Torabi,Iran
Alireza Jahanbakhsh,Netherlands
Mehdi Taremi,Portugal
Karim Ansarifard,Cyprus
Shuichi Gonda,Japan
Ko Itakura,Germany
Shogo Taniguchi,Japan
Yuto Nagatomo,Japan
Miki Yamane,Japan
Hidemasa Morita,Portugal
Ao Tanaka,Germany
Daichi Kamada,Germany
Kaoru Mitoma,England
Yuki Soma,Japan
Takefusa Kubo,Spain
Takuma Asano,Germany
Shuto Machino,Japan
Daniel Schmidt,Belgium
Eiji Kawashima,France
Hiroki Ito,Germany
Maya Yoshida,Germany
Takehiro Tomiyasu,England
Hiroki Sakai,Japan
Wataru Endo,Germany
Gaku Shibasaki,Spain
Takumi Minamino,France
Daizen Maeda,Scotland
Ritsu Doan,Germany
Junya Ito,France
Ayase Ueda,Belgium
Guillermo Ochoa,Mexico
César Montes,Mexico
Néstor Araújo,Mexico
Gerardo Arteaga,Belgium
Jorge Sánchez,Netherlands
Edson Álvarez,Netherlands
Luis Chávez,Mexico
Érick Gutiérrez,Netherlands
Héctor Herrera,United States
Alexis Vega,Mexico
Roberto Alvarado,Mexico
Raúl Jiménez,England
Rogelio Funes Mori,Mexico
Rodolfo Cota,Mexico
Alfredo Talavera,Mexico
Johan Vásquez,Italy
Héctor Moreno,Mexico
Jesús Gallardo,Mexico
Kevin Álvarez,Mexico
Luis Romo,Mexico
Carlos Rodríguez,Mexico
Orbelín Pineda,Greece
Andrés Guardado,Spain
Hirving Lozano,Italy
Uriel Antuna,Mexico
Henry Martín,Mexico
Ahmed Reda Tagnaouti,Morocco
Nayef Aguerd,England
Achraf Dari,France
Badr Benoun,Qatar
Achraf Hakimi,France
Sofyan Amrabat,Italy
Azzedine Ounahi,France
Ilias Chair,England
Bilal El Khannouss,Belgium
Ez Abde,Spain
Anass Zaroury,England
Youssef En-Nesyri,Spain
Walid Cheddira,Italy
Bono,Spain
Munir,Saudi Arabia
Romain Saïss,Turkey
Jawad El Yamiq,Spain
Yahia Attiyat Allah,Morocco
Noussair Mazraoui,Germany
Yahya Jabrane,Morocco
Hakim Ziyech,England
Selim Amallah,Belgium
Abdelhamid Sabiri,Italy
Sofiane Boufal,France
Zakaria Aboukhlal,France
Abderrazak Hamdallah,Saudi Arabia
Andries Noppert,Netherlands
Matthijs de Ligt,Germany
Jurrien Timber,Netherlands
Stefan de Vrij,Italy
Daley Blind,Netherlands
Teun Koopmeiners,Italy
Frenkie de Jong,Spain
Denzel Dumfries,Italy
Steven Berghuis,Netherlands
Cody Gakpo,Netherlands
Noa Lang,Belgium
Wout Weghorst,Turkey
Luuk de Jong,Netherlands
Justin Bijlow,Netherlands
Remko Pasveer,Netherlands
Virgil van Dijk,England
Nathan Aké,England
Tyrell Malacia,England
Jeremie Frimpong,Germany
Marten de Roon,Italy
Kenneth Taylor,Netherlands
Xavi Simons,Netherlands
Davy Klaassen,Netherlands
Steven Bergwijn,Netherlands
Memphis Depay,Spain
Vincent Janssen,Belgium
Kamil Grabara,Denmark
Jan Bednarek,England
Mateusz Wieteska,France
Artur Jedrzejczyk,Poland
Robert Gumny,Germany
Grzegorz Krychowiak,Saudi Arabia
Szymon Zurkowski,Italy
Przemyslaw Frankowski,France
Piotr Zielinski,Italy
Jakub Kaminski,Germany
Michal Skoras,Poland
Krzysztof Piatek,Italy
Karol Swiderski,United States
Wojciech Szczesny,Italy
Lukasz Skorupski,Italy
Jakub Kiwior,Italy
Kamil Glik,Italy
Matty Cash,England
Bartosz Bereszynski,Italy
Krystian Bielik,England
Damian Szymanski,Greece
Nicola Zalewski,Italy
Sebastian Szymanski,Netherlands
Kamil Grosicki,Poland
Robert Lewandowski,Spain
Arkadiusz Milik,Italy
José Sá,England
Rúben Dias,England
Pepe,Portugal
Raphaël Guerreiro,Germany
Diogo Dalot,England
João Palhinha,England
Danilo Pereira,France
Matheus Nunes,England
Bernardo Silva,England
João Mário,Portugal
Ricardo Horta,Portugal
André Silva,Germany
Cristiano Ronaldo,
Diogo Costa,Portugal
Rui Patrício,Italy
António Silva,Portugal
Nuno Mendes,France
João Cancelo,England
Rúben Neves,England
William Carvalho,Spain
Vitinha,France
Otávio,Portugal
Bruno Fernandes,England
Rafael Leão,Italy
João Félix,Spain
Gonçalo Ramos,Portugal
Saad Al-Sheeb,Qatar
Bassam Al-Rawi,Qatar
Boualem Khoukhi,Qatar
Jassem Gaber Abdulsallam,Qatar
Homam Ahmed,Qatar
Karim Boudiaf,Qatar
Assim Madibo,Qatar
Abdulaziz Hatem,Qatar
Ali Asad,Qatar
Khalid Muneer Mazeed,Qatar
Naif Al-Hadhrami,Qatar
Almoez Ali,Qatar
Mohammed Muntari,Qatar
Meshaal Barsham,Qatar
Yousef Hassan,Qatar
Tarek Salman,Qatar
Pedro Miguel,Qatar
Abdelkarim Hassan,Qatar
Musab Khoder,Qatar
Mohammed Waad,Qatar
Salem Al-Hajri,Qatar
Mustafa Mashaal,Qatar
Akram Afif,Qatar
Hasan Al-Haydos,Qatar
Ismaeel Mohammed,Qatar
Ahmed Alaaeldin,Qatar
Mohammed Al-Rubaie,
Abdulelah Al-Amri,Saudi Arabia
Abdullah Madu,Saudi Arabia
Yasser Al-Shahrani,Saudi Arabia
Sultan Al-Ghannam,Saudi Arabia
Mohammed Al-Burayk,Saudi Arabia
Riad Sharahili,Saudi Arabia
Mohamed Kanno,Saudi Arabia
Salman Al-Faraj,Saudi Arabia
Nawaf Al-Abed,Saudi Arabia
Abdulrahman Al-Oboud,Saudi Arabia
Firas Al-Buraikan,Saudi Arabia
Haitham Asiri,
Mohammed Al-Owais,Saudi Arabia
Nawaf Al-Aqidi,Saudi Arabia
Hassan Tambakti,Saudi Arabia
Ali Al-Boleahi,Saudi Arabia
Nasser Al-Dawsari,Saudi Arabia
Saud Abdulhamid,Saudi Arabia
Ali Al-Hassan,Saudi Arabia
Abdullah Otayf,Saudi Arabia
Abdulelah Al-Malki,Saudi Arabia
Sami Al-Najei,Saudi Arabia
Salem Al-Dawsari,Saudi Arabia
Hattan Bahebri,Saudi Arabia
Saleh Al-Shehri,Saudi Arabia
Alfred Gomis,France
Kalidou Koulibaly,England
Pape Abou Cissé,Greece
Ismail Jakobs,France
Moussa N'Diaye,Belgium
Pape Gueye,France
Mamadou Loum,England
Pape Matar Sarr,England
Pathé Ciss,Spain
Iliman Ndiaye,England
Nicolas Jackson,Spain
Boulaye Dia,Italy
Famara Diédhiou,Turkey
Edouard Mendy,England
Seny Dieng,England
Abdou Diallo,Germany
Formose Mendy,France
Fodé Ballo-Touré,Italy
Youssouf Sabaly,Spain
Nampalys Mendy,England
Cheikhou Kouyaté,England
Idrissa Gueye,England
Moustapha Name,Cyprus
Ismaïla Sarr,England
Krépin Diatta,France
Bamba Dieng,France
Marko Dmitrović,Spain
Strahinja Pavlovic,Austria
Strahinja Eraković,Serbia
Srdjan Babic,Spain
Marko Grujić,Portugal
Nemanja Gudelj,Spain
Saša Lukić,Italy
Nemanja Maksimović,Spain
Darko Lazović,Italy
Filip Djuricic,Italy
Nemanja Radonjić,Italy
Dušan Vlahović,Italy
Luka Jović,Italy
Predrag Rajković,Spain
Vanja Milinković-Savić,Italy
Nikola Milenković,Italy
Miloš Veljković,Germany
Stefan Mitrović,Spain
Uroš Račić,Portugal
Sergej Milinković-Savić,Italy
Ivan Ilić,Italy
Filip Kostić,Italy
Filip Mladenovic,Poland
Dusan Tadić,Netherlands
Andrija Zivkovic,Greece
Aleksandar Mitrović,England
Bum-keun Song,South Korea
Min-jae Kim,Italy
Yu-min Cho,South Korea
Jin-su Kim,South Korea
Moon-hwan Kim,South Korea
Jong-gyu Yoon,South Korea
Woo-young Jung,Qatar
Seung-ho Paik,South Korea
Jae-sung Lee,Germany
Min-kyu Song,South Korea
Chang-hoon Kwon,South Korea
Hee-chan Hwang,England
Gue-sung Cho,South Korea
Hyeon-woo Jo,South Korea
Seung-gyu Kim,Saudi Arabia
Kyung-won Kwon,Japan
Young-gwon Kim,South Korea
Chul Hong,South Korea
Tae-hwan Kim,South Korea
Jun-ho Son,China
In-beom Hwang,Greece
Kang-in Lee,Spain
Heung-min Son,England
Sang-ho Na,South Korea
Woo-yeong Jeong,Germany
Ui-jo Hwang,Greece
Unai Simón,Spain
Pau Torres,Spain
Eric García,Spain
Jordi Alba,Spain
César Azpilicueta,England
Hugo Guillamón,Spain
Pedri,Spain
Marcos Llorente,Spain
Koke,Spain
Ansu Fati,Spain
Yéremy Pino,Spain
Nico Williams,Spain
Álvaro Morata,Spain
Robert Sánchez,England
David Raya,England
Aymeric Laporte,England
Alejandro Balde,Spain
Daniel Carvajal,Spain
Rodri,England
Sergio Busquets,Spain
Gavi,Spain
Carlos Soler,France
Dani Olmo,Germany
Ferran Torres,Spain
Marco Asensio,Spain
Pablo Sarabia,France
Jonas Omlin,France
Philipp Köhn,Austria
Nico Elvedi,Germany
Eray Cömert,Spain
Silvan Widmer,Germany
Denis Zakaria,England
Fabian Frei,Switzerland
Remo Freuler,England
Edimilson Fernandes,Germany
Rubén Vargas,Germany
Christian Fassnacht,Switzerland
Noah Okafor,Austria
Haris Seferovic,Turkey
Gregor Kobel,Germany
Yann Sommer,Germany
Manuel Akanji,England
Fabian Schär,England
Ricardo Rodríguez,Italy
Granit Xhaka,England
Ardon Jashari,Switzerland
Djibril Sow,Germany
Michel Aebischer,Italy
Fabian Rieder,Switzerland
Xherdan Shaqiri,United States
Renato Steffen,Switzerland
Breel Embolo,France
Bechir Ben Said,Tunisia
Aymen Balbouli,Tunisia
Dylan Bronn,Italy
Nader Ghandri,Tunisia
Ali Maâloul,Egypt
Mohamed Dräger,Switzerland
Ellyes Skhiri,Germany
Anis Slimane,Denmark
Ferjani Sassi,Qatar
Hannibal Mejbri,England
Youssef Msakni,Qatar
Wahbi Khazri,France
Taha Yassine Khenissi,
Aymen Dahmen,Tunisia
Mouez Hassen,Tunisia
Montassar Talbi,France
Yassine Meriah,Tunisia
Bilel Ifa,
Ali Abdi,France
Wajdi Kechrida,Greece
Aïssa Laïdouni,Hungary
Mohamed Ali Ben Romdhane,Tunisia
Ghaylen Chaaleli,Tunisia
Naïm Sliti,Saudi Arabia
Issam Jebali,Denmark
Seifeddine Jaziri,Egypt
Sean Johnson,United States
Cameron Carter-Vickers,Scotland
Aaron Long,United States
Antonee Robinson,England
Joe Scally,Germany
Shaq Moore,United States
Kellyn Acosta,United States
Yunus Musah,Spain
Luca de la Torre,Spain
Brenden Aaronson,England
Christian Pulisic,England
Josh Sargent,England
Haji Wright,Turkey
Matt Turner,England
Ethan Horvath,England
Walker Zimmerman,United States
Tim Ream,England
Sergiño Dest,Italy
DeAndre Yedlin,United States
Tyler Adams,England
Weston McKennie,Italy
Cristian Roldán,United States
Giovanni Reyna,Germany
Jordan Morris,United States
Timothy Weah,France
Jesús Ferreira,United States
Fernando Muslera,Turkey
Ronald Araújo,Spain
Sebastián Coates,Portugal
Martín Cáceres,United States
Matías Viña,Italy
José Luis Rodríguez,Uruguay
Lucas Torreira,Turkey
Rodrigo Bentancur,England
Matías Vecino,Italy
Facundo Torres,United States
Facundo Pellistri,England
Maxi Gómez,Turkey
Luis Suárez,Uruguay
Sergio Rochet,Uruguay
Sebastián Sosa,Argentina
José María Giménez,Spain
Diego Godín,Argentina
Mathías Olivera,Italy
Guillermo Varela,Brazil
Manuel Ugarte,Portugal
Federico Valverde,Spain
Nicolás de la Cruz,Argentina
Giorgian de Arrascaeta,Brazil
Agustín Canobbio,Brazil
Darwin Núñez,England
Edinson Cavani,Spain
Wayne Hennessey,England
Joe Rodon,France
Ben Cabango,England
Tom Lockyer,England
Neco Williams,England
Chris Gunter,England
Aaron Ramsey,France
Dylan Levitt,Scotland
Rubin Colwill,England
Harry Wilson,England
Sorba Thomas,England
Brennan Johnson,England
Mark Harris,England
Danny Ward,England
Adam Davies,England
Ethan Ampadu,Italy
Chris Mepham,England
Ben Davies,England
Connor Roberts,England
Matt Smith,England
Joe Allen,England
Joe Morrell,England
Jonathan Williams,England
Daniel James,England
Gareth Bale,United States
Kieffer Moore,England
